2026-02-05 20:38:22.632 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:26.576 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:26.581 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:27.591 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:27.597 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:29.235 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:29.240 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:33.706 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:34.007 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:46.864 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:46.889 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:46.972 | INFO  | [64192aed-6696-468e-b901-4b033a87b8a9] [] | com.gasagency.audit | AUDIT | action=CREATE | entity=LEDGER | ledgerId=188615 | customerId=5301
2026-02-05 20:38:46.984 | INFO  | [64192aed-6696-468e-b901-4b033a87b8a9] [] | com.gasagency.audit | SALE_CREATED | saleId=188601 | customerId=5301 | customer=Raj Patil | amount=2800.0 | timestamp=2026-02-05 20:38:46
2026-02-05 20:38:49.084 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:49.087 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:56.216 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:38:56.235 | INFO  | [523e6b37-4a70-465f-969e-5451d7ded5e3] [] | com.gasagency.audit | AUDIT | action=CREATE | entity=LEDGER | ledgerId=188616 | customerId=5301
2026-02-05 20:38:58.687 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mrunal | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:07.685 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:07.702 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:07.702 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:07.723 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:10.652 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:10.657 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:11.643 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:11.643 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:16.796 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:17.096 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:25.027 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:25.044 | INFO  | [] [] | com.gasagency.audit | AUDIT | action=AUTHENTICATION_SUCCESS | entity=JWT_VALIDATION | username=mahesh | ip=0:0:0:0:0:0:0:1
2026-02-05 20:39:25.113 | INFO  | [c5f96002-427c-4103-bd26-7cb6729c266e] [] | com.gasagency.audit | AUDIT | action=CREATE | entity=LEDGER | ledgerId=188617 | customerId=5301
2026-02-05 20:39:25.122 | INFO  | [c5f96002-427c-4103-bd26-7cb6729c266e] [] | com.gasagency.audit | SALE_CREATED | saleId=188602 | customerId=5301 | customer=Raj Patil | amount=4200.0 | timestamp=2026-02-05 20:39:25
